orig_sen_idx	condition	sen	counter_sen	token	full_npi	env	labels
27785	(0, 1, 1)	Some guest who has exited many restaurants in 	Every guest who has exited many restaurants in 	years	in years	quantifier	upward
38250	(0, 1, 1)	A customer has really thought that a driver had skated around the grocery store in 	A customer has not thought that a driver had skated around the grocery store in 	years	in years	sentential_negation_biclausal	upward
3427	(0, 1, 1)	The teenager who often washed in 	The teenager who seldom washed in 	years	in years	adverbs	upward
10007	(0, 1, 1)	While the actresses observe the teenagers 	If the actresses observe the teenagers 	either	either	conditional	upward
31099	(1, 1, 1)	The men have wondered whether the customers had passed hospitals 	The men have said that the customers had passed the hospitals 	yet	yet	questions	downward
51048	(0, 1, 1)	The people who left the happy children in 	The people who left the happiest children in 	years	in years	superlative	upward
36273	(1, 1, 1)	A customer will not explain that the teenagers can work with a customer 	A customer will really explain that the teenagers can work with a customer 	yet	yet	sentential_negation_biclausal	downward
28363	(1, 1, 1)	Every boy who is helping the guys 	Some boy who is helping the guys 	either	either	quantifier	downward
42843	(0, 1, 1)	The guy had discussed 	Had the guy discussed 	any	any	simplequestions	upward
44937	(1, 1, 1)	Had the ladies described the cashiers in 	The ladies had described the cashiers in 	years	in years	simplequestions	downward
19749	(1, 1, 1)	Only the people hunted at 	Even the people hunted at 	all	at all	only	downward
48260	(0, 1, 1)	The books might resemble the new libraries that 	The books might resemble the newest libraries that 	any	any	superlative	upward
11160	(1, 1, 1)	No woman was 	Some woman was 	ever	ever	determiner_negation_biclausal	downward
32777	(1, 1, 1)	The pedestrians have wondered whether the students talked to senators at 	The pedestrians have said that the students talked to the senators at 	all	at all	questions	downward
7969	(1, 1, 1)	If the actresses have the gloves 	While the actresses have the gloves 	yet	yet	conditional	downward
39922	(1, 1, 1)	A teenager was not thinking that the teenagers are corresponding 	A teenager was really thinking that the teenagers are corresponding 	either	either	sentential_negation_biclausal	downward
6397	(0, 1, 1)	While the patient investigates 	If the patient investigates 	any	any	conditional	upward
